season,week,judge_lowest,actual_exited
1,2,Evander Holyfield,Trista Sutter
1,4,Joey McIntyre,Rachel Hunter
2,1,Master P,Kenny Mayne
2,2,Master P,Tatum O'Neal
2,3,Master P,Giselle Fernandez
2,7,Jerry Rice,Lisa Rinna
3,2,Jerry Springer,Shanna Moakler
3,3,Emmitt Smith,Harry Hamlin
3,4,Sara Evans,Vivica A. Fox
3,5,Sara Evans,Willa Ford
4,2,Clyde Drexler,Paulina Porizkova
4,3,Clyde Drexler,Shandi Finnessey
4,4,Clyde Drexler,Leeza Gibbons
4,6,John Ratzenberger,Heather Mills
4,7,Billy Ray Cyrus,John Ratzenberger
5,2,Wayne Newton,Albert Reed
5,4,Mark Cuban,Floyd Mayweather Jr. 
5,5,Marie Osmond,Mark Cuban
5,6,Jane Seymour,Sabrina Bryan
5,8,Marie Osmond,Cameron Mathison
5,9,Marie Osmond,Jennie Garth
6,3,Marissa Jaret Winokur,Steve Guttenberg
6,7,Cristian de la Fuente,Shannon Elizabeth
6,8,Marissa Jaret Winokur,Mario
7,1,Jeffrey Ross,Ted McGinley
7,2,Cloris Leachman,Misty May-Treanor
7,5,Cloris Leachman,Toni Braxton
7,7,Warren Sapp,Susan Lucci
7,8,Cody Linley,Maurice Greene
8,2,Steve-O,Belinda Carlisle
8,3,Steve Wozniak,Denise Richards
8,5,Steve-O,David Alan Grier
8,8,Melissa Rycroft,Chuck Wicks
8,9,Ty Murray,Lil' Kim
9,3,Michael Irvin,Debi Mazar
9,4,Louie Vito,Chuck Liddell
9,5,Michael Irvin,Natalie Coughlin
9,6,Michael Irvin,Melissa Joan Hart
9,9,Donny Osmond,Joanna Krupa
10,2,Buzz Aldrin,Shannen Doherty
10,4,Kate Gosselin,Aiden Turner
10,7,Niecy Nash,Pamela Anderson
11,5,Bristol Palin,Florence Henderson
11,6,Kurt Warner,Audrina Patridge
11,7,Bristol Palin,Rick Fox
11,8,Bristol Palin,Kurt Warner
11,9,Bristol Palin,Brandy
12,2,Sugar Ray Leonard,Mike Catherwood
12,4,Kendra Wilkinson,Sugar Ray Leonard
12,5,Ralph Macchio,Petra Nemcova
12,7,Kirstie Alley,Kendra Wilkinson
12,8,Ralph Macchio,Romeo
13,2,Chaz Bono,Elisabetta Canalis
13,3,Chaz Bono,Kristin Cavallari
13,4,Carson Kressley,Chynna Phillips
13,7,Nancy Grace,David Arquette
14,4,Gladys Knight,Sherri Sheperd
14,7,Melissa Gilbert,Jaleel White
14,8,Melissa Gilbert,Roshon Fegan
14,9,Katherine Jenkins,Maria Menounos
15,2,Bristol Palin,Joey Fatone
15,3,Bristol Palin,Helio Castroneves
15,4,Kirstie Alley,Bristol Palin
15,6,Emmitt Smith,Sabrina Bryan
15,8,Kirstie Alley,Gilles Marini
15,9,Emmitt Smith,Apolo Anton Ohno
16,4,Victor Ortiz,Lisa Vanderpump
16,10,Jacoby Jones,Alexandra Raisman
17,2,Bill Nye,Keyshawn Johnson
17,3,Valerie Harper,Bill Nye
17,5,Leah Remini,Christina Milian
17,7,Bill Engvall,"Nicole ""Snooki"" Polizzi"
17,8,Bill Engvall,Brant Daugherty
17,9,Bill Engvall,Elizabeth Berkley Lauren
17,10,Bill Engvall,Leah Remini
18,5,Drew Carey,Cody Simpson
18,6,Candace Cameron Bure,Drew Carey
18,8,James Maslow,Danica McKellar
18,9,Candace Cameron Bure,Charlie White
18,10,Candace Cameron Bure,James Maslow
19,1,Betsey Johnson,Lolo Jones
19,2,Michael Waltrip,Tavis Smiley
19,4,Jonathan Bennett,Betsey Johnson
19,6,Antonio Sabato Jr.,Jonathan Bennett
19,7,Michael Waltrip,Antonio Sabato Jr.
19,9,Tommy Chong,Lea Thompson
20,2,Chris Soules,Redfoo
20,4,Chris Soules,Michael Sam
20,5,Robert Herjavec,Suzanne Somers
20,6,Robert Herjavec,Patti LaBelle
20,7,Robert Herjavec,Willow Shields
20,9,Noah Galloway,Nastia Liukin
21,2,Chaka Khan,Victor Espinoza
21,7,Alek Skarlatos,Hayes Grier
21,9,Tamar Braxton,Alexa PenaVega
21,11,Alek Skarlatos,Carlos PenaVega
22,4,Doug Flutie,Marla Maples
22,7,Jodie Sweetin,Kim Fields
22,8,Wanya Morris,Jodie Sweetin
23,2,Rick Perry,Jake T. Austin
23,7,Marilu Henner,Maureen McCormick
23,8,Marilu Henner,Ryan Lochte
23,10,Calvin Johnson Jr.,Terra Jole
24,2,Mr. T,Chris Kattan
24,5,David Ross,Erika Jayne
24,6,Nick Viall,Heather Morris
24,7,Bonner Bolton,Nancy Kerrigan
24,9,David Ross,Simone Biles
25,4,Nick Lachey,Derek Fisher
25,5,Nick Lachey,Sasha Pieterse
25,8,Drew Scott,Terrell Owens
25,9,Drew Scott,Victoria Arlen
26,1,Kareem Abdul-Jabbar,Jamie Anderson
27,1,Joe Amabile,Nikki Glaser
27,2,Joe Amabile,Danelle Umstead
27,3,Joe Amabile,Nancy McKeon
27,4,Joe Amabile,Tinashe
27,6,John Schneider,Mary Lou Retton
27,7,Joe Amabile,John Schneider
27,8,Bobby Bones,Juan Pablo Di Pace
28,2,Lamar Odom,Ray Lewis
28,6,Sean Spicer,Sailor Brinkley-Cook
28,7,Sean Spicer,Karamo Brown
28,8,Sean Spicer,Kate Flannery
29,2,Skai Jackson,Charles Oakley
29,6,Skai Jackson,Veron Davis
29,8,Nelly,Chrishell Stause
29,9,Nelly,AJ McLean
29,10,Nelly,Skai Jackson
30,3,Cody Rigsby,Christine Chiu
30,5,Iman Shumpert,Melanie C
30,9,Cody Rigsby,Melora Hardin
31,1,Vinny Guadagnino,Jason Lewis
31,2,Cheryl Ladd,Teresa Giudice
31,3,Vinny Guadagnino,Cheryl Ladd
31,5,Vinny Guadagnino,Selma Blair
31,6,Vinny Guadagnino,Jessie James Decker
31,7,Vinny Guadagnino,Jordin Sparks
31,8,Vinny Guadagnino,Heidi D'Amelio
32,2,Mauricio Umansky,Jamie Lynn Spears
32,4,Barry Williams,Adrian Peterson
32,5,Harry Jowsey,Mira Sorvino
32,6,Harry Jowsey,Mauricio Umansky
32,7,Harry Jowsey,Lele Pons
32,8,Harry Jowsey,Barry Williams
33,2,Eric Roberts,Tori Spelling
33,3,Reginald VelJohnson,Eric Roberts
33,4,Dwight Howard ,Brooks Nader
33,5,Dwight Howard ,Phaedra Parks
33,6,Ilona Maher,Jenn Tran
34,3,Andy Richter,Lauren Jauregui
34,4,Andy Richter,Hilaria Baldwin
34,6,Andy Richter,Scott Hoying
34,7,Andy Richter,Jen Affleck
34,8,Andy Richter,Danielle Fishel
34,10,Dylan Efron,Whitney Leavitt
